location;date;week;total_vaccinations;total_boosters
China;09/01/2022;2021-W02;2899557000;0
Germany;09/01/2022;;158307123;37712524
India;09/01/2022;2021-W02;1517705282;0
United States;09/01/2022;;531249385;83407142
China;16/01/2022;2021-W03;2937632000;0
Germany;16/01/2022;;162785933;41165373
India;16/01/2022;;1570696006;4298070
United States;16/01/2022;;539128831;88131716
China;23/01/2022;2021-W04;2968121000;0
Germany;23/01/2022;;166306015;43808743
India;23/01/2022;;1622210924;7802602
United States;23/01/2022;;544955362;91432852
China;30/01/2022;2021-W05;3000198000;0
Germany;30/01/2022;;168904414;45687397
India;30/01/2022;;1657362150;11200962
United States;30/01/2022;;549872736;94007512
China;06/02/2022;2021-W06;3006862000;0
Germany;06/02/2022;;170648307;46894568
India;06/02/2022;;1695886196;14140519
United States;06/02/2022;;553560912;95763931
China;13/02/2022;2021-W07;3046687000;0
Germany;13/02/2022;;172049657;47866101
India;13/02/2022;;1727912049;16397796
United States;13/02/2022;;556723665;97205705
China;20/02/2022;2021-W08;3084712000;0
Germany;20/02/2022;;173184473;48673998
India;20/02/2022;;1753406786;17888499
United States;20/02/2022;;559282790;98393383
China;27/02/2022;2021-W09;3124118000;0
Germany;27/02/2022;;174196831;49425894
India;27/02/2022;;1773724815;18820868
United States;27/02/2022;;561411021;99386618
China;06/03/2022;2021-W10;3160685000;0
Germany;06/03/2022;;175081201;50109100
India;06/03/2022;;1787845508;19425033
United States;06/03/2022;;563134718;100189314
China;13/03/2022;2021-W11;3193236000;0
Germany;13/03/2022;;175957871;50828539
India;13/03/2022;;1800720203;20001279
United States;13/03/2022;;564482230;100798614
China;20/03/2022;2021-W12;3226334000;0
Germany;20/03/2022;;176817534;51574226
India;20/03/2022;;1811384731;20465314
United States;20/03/2022;;565781754;101412800
China;27/03/2022;2021-W13;3254984000;0
Germany;27/03/2022;;177654963;52306605
India;27/03/2022;;1831347741;21272397
United States;27/03/2022;;566972545;101979788
China;03/04/2022;2021-W14;3279249000;0
Germany;03/04/2022;;178452524;53018706
India;03/04/2022;2021-W14;1831347741;0
United States;03/04/2022;;569538505;103746811
China;10/04/2022;2021-W15;3297551000;0
Germany;10/04/2022;;179233503;53729637
India;10/04/2022;;1856267473;23007946
United States;10/04/2022;;573050619;106381946
China;17/04/2022;2021-W16;3315186000;0
Germany;17/04/2022;;179664808;54124549
India;17/04/2022;2021-W16;1856267473;0
United States;17/04/2022;;576333501;108855735
China;24/04/2022;2021-W17;3331771000;0
Germany;24/04/2022;;180051757;54472724
India;24/04/2022;;1875857737;25326526
United States;24/04/2022;;579352566;111108228
China;01/05/2022;2021-W18;3345524000;0
Germany;01/05/2022;;180594234;54955398
India;01/05/2022;;1890938196;26954341
